Time,GPS Latitude,GPS Longitude,Temperature, Distance (m)
14:34:43,45.3948822,-75.7611237,32.30,0.42265976921096743
14:34:44,45.3948822,-75.7611237,32.30,0.0
14:34:45,45.3948822,-75.7611237,32.30,0.0
14:34:46,45.3948822,-75.7611237,32.30,0.0
14:34:47,45.3948860,-75.7611237,32.30,0.422659770272251
14:34:48,45.3948860,-75.7611313,32.30,0.5935974162365557
14:34:49,45.3948860,-75.7611313,32.30,0.0
14:34:50,45.3948860,-75.7611313,32.30,0.0
14:34:51,45.3948860,-75.7611313,32.30,0.0
14:34:52,45.3948860,-75.7611389,32.30,0.5935974162365557
14:35:09,45.3948860,-75.7611618,32.10,1.7886027394512833
14:35:10,45.3948860,-75.7611618,32.10,0.0
14:35:11,45.3948860,-75.7611618,32.10,0.0
14:35:12,45.3948898,-75.7611618,32.10,0.42265977097977336
14:35:13,45.3948898,-75.7611618,32.00,0.0
14:35:14,45.3948898,-75.7611618,32.00,0.0
14:35:15,45.3948898,-75.7611618,32.10,0.0
14:35:16,45.3948898,-75.7611618,31.90,0.0
14:35:17,45.3948898,-75.7611618,31.90,0.0
14:35:18,45.3948898,-75.7611618,31.80,0.0
14:35:19,45.3948898,-75.7611618,31.80,0.0
14:35:20,45.3948898,-75.7611618,31.80,0.0
14:35:21,45.3948936,-75.7611694,31.80,0.728696852373301
14:35:22,45.3948936,-75.7611694,31.80,0.0
14:35:23,45.3948936,-75.7611694,31.80,0.0
14:35:24,45.3948936,-75.7611694,31.80,0.0
14:35:25,45.3948975,-75.7611771,31.90,0.7415244543959051
14:35:26,45.3948975,-75.7611771,31.90,0.0
14:35:27,45.3949013,-75.7611771,31.80,0.4226597706260122
14:35:28,45.3949013,-75.7611771,31.70,0.0
14:35:29,45.3949013,-75.7611771,31.70,0.0
14:35:30,45.3949013,-75.7611847,31.70,0.5935972555248851
14:35:31,45.3949013,-75.7611771,31.70,0.5935972555248851
14:35:32,45.3949013,-75.7611771,31.70,0.0
14:35:33,45.3948975,-75.7611771,31.80,0.4226597706260122
14:35:34,45.3948975,-75.7611771,31.70,0.0
14:35:35,45.3948975,-75.7611771,31.70,0.0
14:35:36,45.3948975,-75.7611771,31.60,0.0
14:35:37,45.3948975,-75.7611771,31.70,0.0
14:35:38,45.3949013,-75.7611771,31.80,0.4226597706260122
14:35:39,45.3949013,-75.7611694,31.50,0.6014077452618178
14:35:40,45.3949051,-75.7611694,31.80,0.4226597706260122
14:35:41,45.3949051,-75.7611694,31.70,0.0
14:35:42,45.3949051,-75.7611694,31.60,0.0
14:35:43,45.3949051,-75.7611694,31.60,0.0
14:35:44,45.3949051,-75.7611694,31.60,0.0
14:35:45,45.3949089,-75.7611694,31.50,0.4226597699184898
14:35:46,45.3949089,-75.7611694,31.60,0.0
14:35:47,45.3949089,-75.7611694,31.60,0.0
14:35:48,45.3949089,-75.7611694,31.60,0.0
14:35:49,45.3949089,-75.7611694,31.70,0.0
